# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       6055.51366016        6.933203E+04
       6057.81004687        6.911521E+04
       6060.10692187        6.887817E+04
       6062.40526172        6.883946E+04
       6064.70311328        6.908826E+04
       6067.00242969        6.950856E+04
       6069.30223437        7.016715E+04
       6071.60301562        7.083146E+04
       6073.90233203        7.104384E+04
       6076.20408984        7.088773E+04
       6078.50584766        7.054975E+04
       6080.80907031        7.015742E+04
       6083.11229297        7.000043E+04
       6085.41698047        6.991899E+04
       6087.72069141        6.996342E+04
       6090.02586719        7.008961E+04
       6092.33153125        7.009292E+04
       6094.63866016        6.979671E+04
       6096.94481250        6.903846E+04
       6099.25194141        6.799239E+04
       6101.56053516        6.727430E+04
       6103.86961719        6.720874E+04
       6106.17869922        6.806108E+04
       6108.48875781        6.944159E+04
       6110.79930469        7.032021E+04
       6113.11033984        7.024345E+04
       6115.42186328        6.896180E+04
       6117.73533984        6.675441E+04
       6120.04832812        6.495917E+04
       6122.36180469        6.417479E+04
       6124.67625781        6.514747E+04
       6126.99071094        6.743673E+04
       6129.30614062        6.938161E+04
       6131.62303516        7.013834E+04
       6133.93944141        6.988085E+04
       6136.25633594        6.953642E+04
       6138.57469531        6.962605E+04
       6140.89305469        7.032434E+04
       6143.21287891        7.124451E+04
       6145.53221484        7.171026E+04
       6147.85252734        7.153530E+04
       6150.17332812        7.077884E+04
       6152.49510547        6.926855E+04
       6154.81737109        6.690783E+04
       6157.13963672        6.332155E+04
       6159.46385547        5.956448E+04
       6161.78807422        5.669682E+04
       6164.11278125        5.550944E+04
       6166.43797656        5.652533E+04
       6168.76366016        5.911001E+04
       6171.09032031        6.172342E+04
       6173.41698047        6.428646E+04
       6175.74510547        6.651299E+04
       6178.07323047        6.781904E+04
       6180.40233203        6.840732E+04
       6182.73143359        6.807919E+04
       6185.06200000        6.719919E+04
       6187.39256641        6.619685E+04
       6189.72410937        6.537623E+04
       6192.05614062        6.516728E+04
       6194.38914844        6.547002E+04
       6196.72264453        6.620991E+04
       6199.05662891        6.705858E+04
       6201.39110156        6.772516E+04
       6203.72606250        6.807678E+04
       6206.06248828        6.802668E+04
       6208.39744922        6.724179E+04
       6210.73485156        6.587033E+04
       6213.07225391        6.432440E+04
       6215.40965625        6.303284E+04
       6217.74950000        6.221017E+04
       6220.08885547        6.202875E+04
       6222.42821094        6.186418E+04
       6224.76951953        6.165062E+04
       6227.11082812        6.141074E+04
       6229.45262500        6.142208E+04
       6231.79393359        6.172371E+04
       6234.13719531        6.211352E+04
       6236.48143359        6.242852E+04
       6238.82567187        6.240284E+04
       6241.16991016        6.235220E+04
       6243.51561328        6.249705E+04
       6245.86180469        6.292441E+04
