# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5965.80266406        8.203916E+04
       5968.10783984        8.211858E+04
       5970.41252734        8.210337E+04
       5972.71819141        8.192246E+04
       5975.02483203        8.145300E+04
       5977.33196094        8.089515E+04
       5979.63908984        8.061457E+04
       5981.94817188        8.074157E+04
       5984.25676563        8.126931E+04
       5986.56584766        8.197652E+04
       5988.87590625        8.263568E+04
       5991.18694141        8.320617E+04
       5993.49846484        8.353077E+04
       5995.81047656        8.354888E+04
       5998.12248828        8.335101E+04
       6000.43596484        8.300547E+04
       6002.74992969        8.281668E+04
       6005.06438281        8.279634E+04
       6007.37981250        8.280705E+04
       6009.69573047        8.286062E+04
       6012.01262500        8.298106E+04
       6014.32951953        8.321391E+04
       6016.64690234        8.373094E+04
       6018.96477344        8.446692E+04
       6021.28410938        8.547902E+04
       6023.60393359        8.662937E+04
       6025.92375781        8.793249E+04
       6028.24553516        8.899970E+04
       6030.56633594        8.980371E+04
       6032.88860156        9.044472E+04
       6035.21135547        9.110293E+04
       6037.53459766        9.170694E+04
       6039.85832813        9.225213E+04
       6042.18254688        9.275372E+04
       6044.50823047        9.306113E+04
       6046.83440234        9.314419E+04
       6049.16057422        9.295718E+04
       6051.48772266        9.255637E+04
       6053.81584766        9.192604E+04
       6056.14348438        9.131370E+04
       6058.47258594        9.110451E+04
       6060.80266406        9.150798E+04
       6063.13323047        9.231028E+04
       6065.46330859        9.329023E+04
       6067.79533984        9.423956E+04
       6070.12688281        9.505939E+04
       6072.46037891        9.536031E+04
       6074.79289844        9.485437E+04
       6077.12737109        9.402405E+04
       6079.46282031        9.293482E+04
       6081.79680469        9.203667E+04
       6084.13323047        9.164140E+04
       6086.47014453        9.175639E+04
       6088.80754688        9.190696E+04
       6091.14494922        9.202161E+04
       6093.48332813        9.207898E+04
       6095.82219531        9.223454E+04
       6098.16155078        9.254128E+04
       6100.50237109        9.266179E+04
       6102.84367969        9.274834E+04
       6105.18547656        9.302883E+04
       6107.52678516        9.367696E+04
       6109.86955859        9.416197E+04
       6112.21379688        9.409226E+04
       6114.55705859        9.380300E+04
       6116.90227344        9.334120E+04
       6119.24700000        9.270661E+04
       6121.59367969        9.231057E+04
       6123.94035938        9.236977E+04
       6126.28752734        9.238753E+04
       6128.63518359        9.218637E+04
       6130.98381641        9.203213E+04
       6133.33293750        9.216554E+04
       6135.68254688        9.203474E+04
       6138.03264453        9.215239E+04
       6140.38371875        9.299012E+04
       6142.73528125        9.436159E+04
       6145.08733203        9.511337E+04
       6147.44084766        9.503111E+04
       6149.79387500        9.398951E+04
       6152.14836719        9.207352E+04
       6154.50383594        8.998606E+04
       6156.85832813        8.812640E+04
       6159.21477344        8.604114E+04
       6161.57121875        8.432529E+04
       6163.92815234        8.380301E+04
       6166.28606250        8.443332E+04
       6168.64543750        8.579750E+04
       6171.00432422        8.713657E+04
       6173.36418750        8.836194E+04
       6175.72453906        8.939189E+04
       6178.08537891        8.967333E+04
       6180.44719531        8.910367E+04
       6182.80950000        8.788890E+04
       6185.17278125        8.672332E+04
       6187.53606250        8.575891E+04
       6189.90032031        8.514128E+04
       6192.26555469        8.538202E+04
       6194.63078906        8.656480E+04
       6196.99700000        8.801894E+04
       6199.36321094        8.908506E+04
       6201.73039844        8.932586E+04
       6204.09856250        8.899537E+04
       6206.46770313        8.809300E+04
       6208.83684375        8.670405E+04
       6211.20647266        8.478225E+04
       6213.57707813        8.277778E+04
       6215.94768359        8.147150E+04
       6218.32024219        8.099051E+04
       6220.69182422        8.094776E+04
       6223.06438281        8.090784E+04
       6225.43889453        8.117067E+04
       6227.81340625        8.159201E+04
       6230.18791797        8.173923E+04
       6232.56340625        8.163897E+04
       6234.93987109        8.174294E+04
       6237.31682422        8.205869E+04
       6239.69426563        8.225493E+04
       6242.07170703        8.212791E+04
       6244.45012500        8.225247E+04
       6246.82903125        8.277077E+04
       6249.20989063        8.261124E+04
       6251.59026172        8.226488E+04
       6253.97160938        8.195823E+04
       6256.35344531        8.190139E+04
       6258.73625781        8.251199E+04
       6261.11907031        8.407125E+04
       6263.50237109        8.592366E+04
       6265.88664844        8.722272E+04
       6268.27141406        8.756974E+04
       6270.65715625        8.764484E+04
       6273.04338672        8.767901E+04
       6275.43059375        8.786513E+04
       6277.81828906        8.842433E+04
       6280.20598438        8.935105E+04
       6282.59514453        9.060828E+04
       6284.98430469        9.190144E+04
       6287.37395313        9.275383E+04
       6289.76457813        9.288174E+04
       6292.15569141        9.252239E+04
       6294.54778125        9.192764E+04
       6296.94035938        9.183039E+04
       6299.33391406        9.252091E+04
       6301.72746875        9.373991E+04
       6304.12151172        9.480397E+04
       6306.51701953        9.544754E+04
       6308.91203906        9.579935E+04
       6311.30852344        9.604181E+04
       6313.70549609        9.609786E+04
       6316.10295703        9.639212E+04
       6318.50139453        9.730364E+04
       6320.89983203        9.860601E+04
       6323.29924609        1.001984E+05
       6325.69963672        1.014170E+05
       6328.10002734        1.019707E+05
       6330.50139453        1.023103E+05
       6332.90325000        1.024733E+05
       6335.30559375        1.021459E+05
       6337.70891406        1.018750E+05
       6340.11174609        1.021915E+05
       6342.51653125        1.028525E+05
       6344.92131641        1.031731E+05
       6347.32610156        1.032762E+05
       6349.73186328        1.029299E+05
       6352.13811328        1.017250E+05
       6354.54533984        1.000040E+05
       6356.95256641        9.866126E+04
       6359.36125781        9.844634E+04
       6361.76897266        9.953296E+04
       6364.17864063        1.018315E+05
       6366.58830859        1.048768E+05
       6368.99846484        1.075477E+05
       6371.40862109        1.090566E+05
       6373.82024219        1.095034E+05
       6376.23235156        1.095188E+05
       6378.64494922        1.094177E+05
       6381.05705859        1.094673E+05
       6383.47160938        1.095816E+05
       6385.88469531        1.094489E+05
       6388.29973438        1.093171E+05
       6390.71477344        1.090824E+05
       6393.13030078        1.088315E+05
       6395.54631641        1.092246E+05
       6397.96330859        1.100060E+05
       6400.38078906        1.105884E+05
       6402.79973438        1.110108E+05
       6405.21672656        1.112248E+05
       6407.63664844        1.111095E+05
       6410.05608203        1.107230E+05
       6412.47600391        1.103080E+05
       6414.89690234        1.105032E+05
       6417.31731250        1.111374E+05
       6419.73967578        1.115690E+05
       6422.16203906        1.117616E+05
       6424.58440234        1.120491E+05
       6427.00823047        1.123265E+05
       6429.43205859        1.122831E+05
       6431.85686328        1.123595E+05
       6434.28166797        1.132083E+05
       6436.70696094        1.144061E+05
       6439.13323047        1.148517E+05
       6441.55950000        1.144936E+05
       6443.98723438        1.137850E+05
       6446.41448047        1.131093E+05
       6448.84319141        1.123809E+05
       6451.27239063        1.123857E+05
       6453.70110156        1.133675E+05
       6456.13127734        1.148487E+05
       6458.56194141        1.156968E+05
       6460.99358203        1.159277E+05
       6463.42473438        1.157950E+05
       6465.85686328        1.157231E+05
       6468.28996875        1.161522E+05
       6470.72258594        1.163370E+05
       6473.15666797        1.160438E+05
       6475.59123828        1.157340E+05
       6478.02629688        1.154466E+05
       6480.46184375        1.150524E+05
       6482.89787891        1.140506E+05
       6485.33440234        1.124048E+05
