# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       6345.89012500        6.340307E+04
       6348.26121875        6.395121E+04
       6350.63280078        6.403356E+04
       6353.00487109        6.345542E+04
       6355.37742969        6.236701E+04
       6357.74998828        6.120644E+04
       6360.12401172        6.044133E+04
       6362.49803516        6.029450E+04
       6364.87352344        6.087921E+04
       6367.24852344        6.179155E+04
       6369.62450000        6.243662E+04
       6372.00096484        6.253466E+04
       6374.37840625        6.190994E+04
       6376.75487109        6.084236E+04
       6379.13377734        5.981619E+04
       6381.51268359        5.910770E+04
       6383.89207812        5.902518E+04
       6386.27147266        5.939720E+04
       6388.65184375        5.975811E+04
       6391.03319141        6.018314E+04
       6393.41551562        6.081870E+04
       6395.79686328        6.154070E+04
       6398.18065234        6.241737E+04
       6400.56297656        6.331247E+04
       6402.94627734        6.407864E+04
       6405.33153125        6.485603E+04
       6407.71678516        6.531565E+04
       6410.10252734        6.546404E+04
       6412.48826953        6.566828E+04
       6414.87547656        6.592639E+04
       6417.26219531        6.623129E+04
       6419.64989062        6.653023E+04
       6422.03953906        6.686726E+04
       6424.42723437        6.728119E+04
       6426.81737109        6.758288E+04
       6429.20799609        6.738536E+04
       6431.59862109        6.670877E+04
       6433.98973437        6.590833E+04
       6436.38133594        6.549310E+04
       6438.77342578        6.556072E+04
       6441.16746875        6.621481E+04
       6443.56053516        6.731456E+04
       6445.95457812        6.804169E+04
       6448.34910937        6.789378E+04
       6450.74412891        6.772093E+04
       6453.14061328        6.805140E+04
       6455.53709766        6.864297E+04
       6457.93407031        6.823472E+04
       6460.33104297        6.743364E+04
       6462.72899219        6.692257E+04
       6465.12742969        6.737155E+04
       6467.52733203        6.879679E+04
       6469.92723437        6.986291E+04
       6472.32762500        7.037213E+04
       6474.72850391        7.073696E+04
       6477.12987109        7.118974E+04
       6479.53172656        7.142308E+04
       6481.93504687        7.147715E+04
       6484.33787891        7.119628E+04
       6486.74168750        7.047148E+04
       6489.14598437        6.896734E+04
       6491.55076953        6.704566E+04
       6493.95653125        6.530795E+04
       6496.36229297        6.498223E+04
       6498.76903125        6.679524E+04
       6501.17625781        6.934259E+04
       6503.58397266        7.154069E+04
       6505.99217578        7.303768E+04
       6508.40135547        7.353366E+04
       6510.81102344        7.360464E+04
       6513.22117969        7.367220E+04
       6515.63182422        7.380337E+04
       6518.04246875        7.417800E+04
       6520.45457812        7.488447E+04
       6522.86619922        7.561503E+04
       6525.27977344        7.604322E+04
       6527.69285937        7.624585E+04
       6530.10741016        7.638242E+04
       6532.52147266        7.654215E+04
       6534.93748828        7.681747E+04
       6537.35252734        7.703883E+04
       6539.76951953        7.685624E+04
       6542.18602344        7.621469E+04
       6544.60301562        7.551392E+04
       6547.02147266        7.488733E+04
       6549.44041797        7.466999E+04
       6551.85887500        7.462817E+04
       6554.27879687        7.430033E+04
       6556.69871875        7.356299E+04
       6559.12010547        7.298345E+04
       6561.54149219        7.275904E+04
       6563.96336719        7.275273E+04
       6566.38621875        7.304649E+04
       6568.80907031        7.375210E+04
       6571.23241016        7.403023E+04
       6573.65672656        7.418344E+04
       6576.08104297        7.480761E+04
       6578.50682422        7.583037E+04
       6580.93260547        7.663142E+04
       6583.35936328        7.703879E+04
       6585.78709766        7.698600E+04
       6588.21385547        7.658482E+04
       6590.64256641        7.594350E+04
       6593.07078906        7.562967E+04
       6595.50096484        7.577320E+04
       6597.93114062        7.651948E+04
       6600.36131641        7.718821E+04
       6602.79198047        7.729421E+04
       6605.22410937        7.722760E+04
       6607.65575000        7.712463E+04
       6610.08885547        7.721995E+04
       6612.52244922        7.770713E+04
       6614.95701953        7.801484E+04
       6617.39061328        7.807512E+04
       6619.82567187        7.788873E+04
       6622.26170703        7.750932E+04
       6624.69774219        7.708130E+04
       6627.13475391        7.676744E+04
       6629.57225391        7.662319E+04
       6632.00926562        7.678294E+04
       6634.44823047        7.697016E+04
       6636.88719531        7.720899E+04
       6639.32664844        7.741498E+04
       6641.76658984        7.748989E+04
       6644.20750781        7.737929E+04
       6646.64891406        7.723716E+04
       6649.09080859        7.704566E+04
       6651.53319141        7.682603E+04
       6653.97703906        7.655514E+04
       6656.41991016        7.609955E+04
       6658.86424609        7.576604E+04
       6661.30907031        7.552733E+04
       6663.75389453        7.555731E+04
       6666.19969531        7.589610E+04
       6668.64647266        7.640021E+04
       6671.09373828        7.648511E+04
       6673.54100391        7.590121E+04
       6675.98924609        7.504398E+04
       6678.43748828        7.428844E+04
       6680.88621875        7.408404E+04
       6683.33592578        7.431978E+04
       6685.78709766        7.465821E+04
       6688.23826953        7.475712E+04
       6690.68944141        7.463627E+04
       6693.14158984        7.447639E+04
       6695.59471484        7.445870E+04
       6698.04783984        7.465342E+04
       6700.50145312        7.489771E+04
       6702.95604297        7.517741E+04
       6705.41112109        7.509797E+04
       6707.86717578        7.459976E+04
       6710.32274219        7.355718E+04
       6712.77928516        7.215265E+04
       6715.23631641        7.095942E+04
       6717.69481250        7.033716E+04
       6720.15233203        7.056649E+04
       6722.61131641        7.143233E+04
       6725.07030078        7.225497E+04
       6727.53075000        7.256051E+04
       6729.99217578        7.274752E+04
       6732.45262500        7.282681E+04
       6734.91405078        7.283530E+04
       6737.37694141        7.268710E+04
       6739.83983203        7.239118E+04
       6742.30369922        7.185149E+04
       6744.76756641        7.125482E+04
       6747.23192187        7.086179E+04
       6749.69774219        7.072345E+04
       6752.16307422        7.100557E+04
       6754.62938281        7.147506E+04
       6757.09666797        7.203745E+04
       6759.56444141        7.222939E+04
       6762.03221484        7.208937E+04
       6764.50096484        7.177296E+04
       6766.96971484        7.151941E+04
       6769.43944141        7.152950E+04
       6771.90965625        7.178449E+04
       6774.38084766        7.195510E+04
       6776.85203906        7.170893E+04
       6779.32371875        7.108874E+04
       6781.79637500        7.035388E+04
       6784.26951953        6.976792E+04
       6786.74315234        6.956530E+04
       6789.21776172        6.959761E+04
       6791.69237109        6.972534E+04
       6794.16698047        6.978861E+04
       6796.64305469        6.994791E+04
       6799.12059375        7.005664E+04
       6801.59715625        7.009632E+04
       6804.07420703        7.009281E+04
       6806.55321094        6.988463E+04
       6809.03075000        6.973875E+04
       6811.50926562        6.964336E+04
       6813.98875781        6.956500E+04
       6816.46922656        6.942899E+04
       6818.94920703        6.932042E+04
       6821.42821094        6.930845E+04
       6823.90965625        6.938038E+04
       6826.39110156        6.947893E+04
       6828.87303516        6.948660E+04
       6831.35594531        6.936830E+04
       6833.83836719        6.926322E+04
       6836.32225391        6.923293E+04
       6838.80565234        6.902002E+04
       6841.29051562        6.882410E+04
       6843.77391406        6.852487E+04
       6846.25975391        6.816508E+04
       6848.74510547        6.771184E+04
       6851.23143359        6.712194E+04
       6853.71776172        6.658737E+04
       6856.20506641        6.598725E+04
       6858.69139453        6.502882E+04
       6861.17869922        6.291118E+04
       6863.66795703        5.963709E+04
       6866.15672656        5.631016E+04
       6868.64549609        5.321023E+04
       6871.13524219        5.224212E+04
       6873.62498828        5.429769E+04
       6876.11473437        5.726229E+04
       6878.60643359        5.973744E+04
       6881.09715625        6.094210E+04
       6883.58983203        6.113941E+04
       6886.08250781        6.100148E+04
       6888.57469531        6.114513E+04
       6891.06834766        6.162192E+04
       6893.56102344        6.207900E+04
       6896.05614062        6.252141E+04
       6898.55125781        6.315756E+04
       6901.04539844        6.417193E+04
       6903.54100391        6.559641E+04
       6906.03660937        6.701521E+04
       6908.53367969        6.815284E+04
       6911.02977344        6.852767E+04
       6913.52782031        6.844709E+04
       6916.02440234        6.845818E+04
       6918.52342578        6.897512E+04
       6921.02147266        6.993959E+04
       6923.52049609        7.135301E+04
       6926.02000781        7.280373E+04
       6928.52049609        7.389473E+04
       6931.02049609        7.457086E+04
       6933.52196094        7.483806E+04
       6936.02293750        7.494130E+04
       6938.52391406        7.521766E+04
       6941.02635547        7.577111E+04
       6943.52928516        7.660009E+04
       6946.03270312        7.750083E+04
       6948.53612109        7.801896E+04
       6951.03953906        7.813485E+04
       6953.54442187        7.816504E+04
       6956.04979297        7.840540E+04
       6958.55467578        7.890634E+04
       6961.06053516        7.976539E+04
       6963.56737109        8.036449E+04
       6966.07323047        8.073411E+04
       6968.58104297        8.060735E+04
       6971.08836719        8.004565E+04
       6973.59666797        7.928470E+04
       6976.10545703        7.869899E+04
       6978.61326953        7.860525E+04
       6981.12303516        7.875684E+04
       6983.63328906        7.929859E+04
       6986.14354297        7.959965E+04
       6988.65477344        7.955390E+04
       6991.16600391        7.956404E+04
       6993.67772266        7.985359E+04
       6996.18895312        8.017793E+04
       6998.70116016        8.051618E+04
       7001.21483203        8.065355E+04
       7003.72899219        8.084284E+04
       7006.24217578        8.115546E+04
       7008.75682422        8.131197E+04
       7011.27147266        8.138949E+04
       7013.78709766        8.153814E+04
       7016.30272266        8.172279E+04
       7018.81883594        8.187043E+04
       7021.33592578        8.228237E+04
       7023.85252734        8.290693E+04
       7026.37010547        8.378623E+04
       7028.88768359        8.476906E+04
       7031.40623828        8.571991E+04
       7033.92576953        8.632997E+04
       7036.44481250        8.697259E+04
       7038.96434375        8.796181E+04
       7041.48485156        8.886629E+04
       7044.00535937        8.969883E+04
       7046.52635547        8.962001E+04
       7049.04832812        8.844403E+04
       7051.57127734        8.680246E+04
       7054.09276172        8.515896E+04
       7056.61522266        8.406206E+04
       7059.13866016        8.360306E+04
       7061.66356250        8.351088E+04
       7064.18700000        8.375047E+04
       7066.71190234        8.441973E+04
       7069.23680469        8.520751E+04
       7071.76219531        8.587380E+04
       7074.28905078        8.640099E+04
       7076.81541797        8.623004E+04
       7079.34227344        8.553228E+04
       7081.87059375        8.424323E+04
       7084.39744922        8.274925E+04
       7086.92576953        8.157121E+04
       7089.45457812        8.099839E+04
       7091.98485156        8.099918E+04
       7094.51414844        8.135093E+04
       7097.04491016        8.170835E+04
       7099.57469531        8.197164E+04
       7102.10594531        8.235357E+04
       7104.63768359        8.266099E+04
       7107.16991016        8.288649E+04
       7109.70213672        8.311826E+04
       7112.23436328        8.343344E+04
       7114.76854297        8.369931E+04
       7117.30174609        8.371261E+04
       7119.83641406        8.301608E+04
       7122.37157031        8.159106E+04
       7124.90623828        7.979174E+04
       7127.44139453        7.787056E+04
       7129.97752734        7.655265E+04
       7132.51414844        7.604069E+04
       7135.05076953        7.650828E+04
       7137.58885547        7.725719E+04
