# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       6812.39332813        1.608155E+05
       6814.90407031        1.615886E+05
       6817.41481250        1.626459E+05
       6819.92701953        1.633661E+05
       6822.43971484        1.635592E+05
       6824.95192188        1.633509E+05
       6827.46510547        1.631383E+05
       6829.97877734        1.630644E+05
       6832.49391406        1.629192E+05
       6835.00856250        1.621461E+05
       6837.52272266        1.613549E+05
       6840.03883594        1.612074E+05
       6842.55446094        1.618898E+05
       6845.07155078        1.624699E+05
       6847.58864063        1.620760E+05
       6850.10621875        1.609008E+05
       6852.62379688        1.597078E+05
       6855.14235156        1.583560E+05
       6857.66139453        1.565088E+05
       6860.18141406        1.523979E+05
       6862.70045703        1.451927E+05
       6865.22145313        1.370713E+05
       6867.74196094        1.313474E+05
       6870.26295703        1.314495E+05
       6872.78492969        1.364008E+05
       6875.30787891        1.425582E+05
       6877.83033984        1.478439E+05
       6880.35377734        1.503912E+05
       6882.87672656        1.515318E+05
       6885.40162891        1.518462E+05
       6887.92653125        1.520749E+05
       6890.45045703        1.526109E+05
       6892.97731250        1.534548E+05
       6895.50270313        1.548133E+05
       6898.03004688        1.564171E+05
       6900.55641406        1.584280E+05
       6903.08424609        1.601607E+05
       6905.61158984        1.614148E+05
       6908.14088672        1.621160E+05
       6910.66969531        1.627970E+05
       6913.19948047        1.638321E+05
       6915.72926563        1.651368E+05
       6918.25905078        1.659899E+05
       6920.78981250        1.663276E+05
       6923.32106250        1.666918E+05
       6925.85280078        1.673777E+05
       6928.38502734        1.683873E+05
       6930.91774219        1.692877E+05
       6933.45143359        1.701014E+05
       6935.98512500        1.708121E+05
       6938.51930469        1.710881E+05
       6941.05446094        1.711258E+05
       6943.58864063        1.711987E+05
       6946.12477344        1.712262E+05
       6948.66090625        1.716943E+05
       6951.19703906        1.724132E+05
       6953.73414844        1.737402E+05
       6956.27174609        1.752731E+05
       6958.80983203        1.766220E+05
       6961.34938281        1.774620E+05
       6963.88698047        1.778141E+05
       6966.42653125        1.772914E+05
       6968.96657031        1.757034E+05
       6971.50758594        1.731203E+05
       6974.04762500        1.711891E+05
       6976.58864063        1.712423E+05
